,System,pl_orbincl,st_rad,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0,T0err,Period,Perioderr,Ephemeris_reference,st_logg,Teff,Z,pl_orbsmax
88,WASP-138,90.0,1.36, TEP  ,2,46,33.37,0,27,50.0,11.81,10.49,0.1572,0.007,2457326.62183,0.00032,3.634433,5e-06,2017A+A...599A...3L,4.25,6300,-0.09,0.0494
89,WASP-140,90.0,0.87, TEP  ,4,1,32.53,-20,27,3.9,11.13,9.17,0.0631,0.019,2456912.35105,0.00015,2.2359835,8e-07,2017MNRAS.465.3693H,4.51,5300,0.12,0.0323
90,WASP-156,90.0,0.76, TEP  ,2,11,7.61,2,25,4.8,11.57,9.34,0.1,0.005,2454677.707,0.002,3.836169,3e-06,2018A+A...610..A63D,4.6,4910,0.24,0.0453
91,WASP-167,90.0,1.79, TEP  ,13,4,10.53,-35,32,58.3,10.53,9.76,0.1135,0.008,2456592.4643,0.0002,2.0219596,6e-07,2017MNRAS.471.2743T,4.13,6900,-0.04,0.0365
92,WASP-173,90.0,1.11, TEP  ,23,36,40.32,-34,36,40.4,11.15,10.0,0.0957,0.013,2457288.8585,0.0002,1.38665318,2.7e-07,arXiv:1803.02224,4.37,5700,0.16,0.0248
93,XO-1,90.0,0.93, TEP  ,16,2,11.84,28,10,10.4,11.14,9.53,0.1238,0.019,2455314.572766,4.9e-05,3.94150514,2e-07,2018MNRAS.481.4261S,4.5089999999999995,5740,-0.03,0.049139999999999996
94,XO-2,90.0,0.998, TEP  ,7,48,6.47,50,13,33.0,11.25,9.31,0.1126,0.014,2454147.75066,0.00012,2.61585937,2.4e-07,2018IBVS.6243....1M,4.44,5332,0.43,0.036160000000000005
95,XO-3,90.0,1.409, TEP  ,4,21,52.7,57,49,1.9,9.91,8.79,0.1192,0.008,2455292.43266,0.00015,3.19153285,5.8e-07,2014ApJ...794..134W,4.2219999999999995,6429,-0.18,0.04529
96,XO-4,90.0,1.554, TEP  ,7,21,33.17,58,16,5.0,10.67,9.41,0.18448,0.008,2454725.18901,0.00025,4.1250707,2.3e-06,2016ApJ...820...87V,4.166,6397,-0.04,0.05485
97,XO-6,90.0,1.93, TEP  ,6,19,10.36,73,49,39.6,10.25,9.25,0.12,0.014,2456652.71245,0.00055,3.765009,4e-06,arXiv:1911.07054,4.04,6720,-0.07,0.0815
98,XO-7,90.0,1.48, TEP  ,18,29,54.93,85,13,59.6,10.52,9.24,0.1155,0.009,2457917.47503,0.00045,2.8641424,4.2999999999999995e-06,arXiv:1912.02821,4.246,6250,0.43200000000000005,0.04421
